vendor_name,year_month,monthly_spend
Invoice number 4712-1853,1997-03-01,3.77
"Graham, Carrio and Stark",1997-03-01,0.2
Address:4894 Melanie Pass Apt. 742,1997-03-01,0.0
COMMERCIAL INVOICE ©,1997-03-01,0.0
COMMERCIAL INVOICE,1997-04-01,891.2099999999999
Robinson-Carson 62 96 e,1997-04-01,93.89
61040 Williamson Crossroad,1997-04-01,84.91
co TAX INVOICE,1997-04-01,65.38
Yoder Luc,1997-04-01,56.48
TAX INVOICE,1997-04-01,6.83
ss,1997-04-01,5.0
INVOICE,1997-04-01,3.0
INVOICE # INV66198156,1997-04-01,2.0
INVOICE # INvi17-46/160,1997-04-01,2.0
"Duran, Morgan and Loper INVOICE",1997-04-01,1.06
Address:4894 Melanie Pass Apt. 742,1997-04-01,0.0
TAX INVOICE ©,1997-04-01,0.0
INVOICE,1997-05-01,730.22
SB invoice Date: 08-May-1997,1997-05-01,613.8
Address:4894 Melanie Pass Apt. 742,1997-05-01,411.06
ss,1997-05-01,390.71
COMMERCIAL INVOICE,1997-05-01,343.04
Buyer :Madison Moss,1997-05-01,90.84
Bill to:sharon Russell,1997-05-01,79.21
| LCO jj,1997-05-01,60.46
Yoder Luc,1997-05-01,44.93
INVOICE 10 9326-050,1997-05-01,22.58
INVOICE ©,1997-05-01,10.9
INVOICE,1997-06-01,1360.28
COMMERCIAL INV,1997-06-01,802.97
COMMERCIAL INVOICE,1997-06-01,247.7
Yoder Luc,1997-06-01,177.78
co TAX INVOICE,1997-06-01,95.49
"9561 Kimberly Ridge Suite 878,",1997-06-01,62.84
S TAX INVOICE,1997-06-01,42.54
4424 Gardner Route,1997-06-01,33.52
TAX INVOICE,1997-06-01,10.0
"Rogers, Olson and Sanders",1997-06-01,4.0
TAX INVOICE,1997-07-01,799.74
Sy Date: 20-Jul-1997,1997-07-01,707.98
Huff-Bryan,1997-07-01,703.98
COMMERCIAL INVOICE,1997-07-01,161.69
Address:4894 Melanie Pass Apt. 742,1997-07-01,48.95
INVOICE,1997-07-01,6.0
TAX INVOICE ©,1997-07-01,0.0
INVOICE,1997-08-01,1387.41
SB Invoice Date: 07-Aug-1997,1997-08-01,1010.64
COMMERCIAL INVOICE,1997-08-01,70.59
BSS,1997-08-01,46.12
"Parker, Phillips and Thomas",1997-08-01,37.4
S COMMERCIAL INVOICE,1997-08-01,26.52
Invoige number NV72651400,1997-08-01,4.0
"Rogers, Olson and Sanders",1997-08-01,2.0
TAX INVOICE,1997-08-01,2.0
INVOICE # INV44584384,1997-08-01,1.0
COMMERCIAL INVOICE ©,1997-08-01,0.0
TAX INVOICE,1997-09-01,2097.75
tut Bryan,1997-09-01,657.93
"Graham, Carrio and Stark",1997-09-01,500.54
=) UJ,1997-09-01,202.62
COMMERCIAL INVOICE,1997-09-01,99.74
S INVOICE,1997-09-01,96.05
Address:4894 Melanie Pass Apt. 742,1997-09-01,80.08
TAX INVOICE A\,1997-09-01,74.14
Bil to;Richard Riggs,1997-09-01,58.32
INVOICE,1997-09-01,43.69
| LS,1997-09-01,43.53
"""am NO",1997-09-01,11.42
=) a,1997-09-01,4.0
as,1997-09-01,4.0
ss,1997-09-01,4.0
INVOICE INVOICE # INV61471503,1997-09-01,1.0
TAX INVOICE ©,1997-09-01,0.0
COMMERCIAL INVOICE,1997-10-01,813.52
INVOICE,1997-10-01,181.23
Wy Date: 23-Oct-1997,1997-10-01,155.9
ss,1997-10-01,96.19
TAX INVOICE,1997-10-01,64.7
y| LCO |,1997-10-01,5.31
S COMMERCIAL INVOICE,1997-10-01,0.55
INVOICE,1997-11-01,1160.5
SB Dale: 07-Nov-1997,1997-11-01,1084.82
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1997-11-01,869.92
SB Dale: 01-Nov-1997,1997-11-01,556.63
TAX INVOICE,1997-11-01,233.55
TAX INVOICE ©,1997-11-01,224.94
COMMERCIAL INVOICE,1997-11-01,130.12
"""am NO",1997-11-01,98.51
74443 Smith Parkways,1997-11-01,33.05
Yoder LLC,1997-11-01,28.28
=) a,1997-11-01,6.0
COMMERCIAL INVOICE ©,1997-11-01,6.0
tut Bryan,1997-11-01,5.0
INVOICE 1D 3Y1MTe-949,1997-11-01,4.0
Address:4894 Melanie Pass Apt. 742,1997-11-01,0.0
INVOICE,1997-12-01,1207.59
Huft-Bryan,1997-12-01,578.06
Bill to:Patrick Chase,1997-12-01,77.96
Address:4894 Melanie Pass Apt. 742,1997-12-01,65.02
| LCO jj,1997-12-01,38.97
ss,1997-12-01,27.72
A Date: 25-Dec-1997,1997-12-01,8.0
COMMERCIAL INVOICE,1997-12-01,8.0
=) a,1997-12-01,6.0
TAX INVOICE A\,1997-12-01,6.0
as,1997-12-01,3.0
COMMERCIAL INVOICE A\,1997-12-01,2.0
Invoice Date: 05-Dec-1997,1997-12-01,2.0
S COMMERCIAL INVOICE,1997-12-01,0.05
COMMERCIAL INVOICE ©,1997-12-01,0.0
TAX INVOICE,1998-01-01,1477.54
Sy Date: 12-Jan-1998,1998-01-01,670.04
fut-Bryan,1998-01-01,520.74
y| LCO |,1998-01-01,92.84
Buyer :Rachel Roberts,1998-01-01,54.53
COMMERCIAL INVOICE,1998-01-01,16.0
INVOICE 1D 9980-955,1998-01-01,5.0
Invoice Date: 27-Jan-1998,1998-01-01,4.0
——,1998-01-01,3.0
INVOICE # INVi23-191867,1998-01-01,2.0
TAX INVOICE,1998-02-01,594.28
A Invoice Date: 17-Feb-1998,1998-02-01,471.28
COMMERCIAL INVOICE,1998-02-01,260.01
BSS,1998-02-01,204.36
Yoder LLC,1998-02-01,71.91
ss,1998-02-01,56.7
"""am NO",1998-02-01,6.24
INVOICE,1998-02-01,6.0
TAX INVOICE A\,1998-02-01,3.0
Bil to:Melissa Perez,1998-02-01,2.05
"Parker, Phillips and Thomas",1998-02-01,0.51
Huft-Bryan,1998-03-01,892.44
TAX INVOICE,1998-03-01,755.9499999999999
BSS,1998-03-01,228.99
| LCO jj,1998-03-01,87.78
=,1998-03-01,73.4
Address:4894 Melanie Pass Apt. 742,1998-03-01,68.09
COMMERCIAL INVOICE,1998-03-01,49.94
"Parker, Phillips and Thomas",1998-03-01,12.22
INVOICE,1998-03-01,5.0
Date: 14-Mar-1998,1998-03-01,3.0
INVOICE # 9y7Mt6-604,1998-03-01,3.0
INVOICE Invoice number INV50874200,1998-03-01,2.0
COMMERCIAL INVOICE ©,1998-03-01,0.0
INVOICE,1998-04-01,955.6500000000001
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1998-04-01,924.9
Huff-Bryan,1998-04-01,596.24
S TAX INVOICE,1998-04-01,98.23
"Rogers, Olson and Sanders",1998-04-01,89.2
=) UJ,1998-04-01,39.18
TAX INVOICE,1998-04-01,6.4399999999999995
Yoder Luc,1998-04-01,5.98
Jensen Group. INVOICE,1998-04-01,4.0
COMMERCIAL INVOICE,1998-04-01,3.0
co TAX INVOICE,1998-04-01,1.0
Address:4894 Melanie Pass Apt. 742,1998-05-01,7742.8
COMMERCIAL INVOICE,1998-05-01,527.09
TAX INVOICE ©,1998-05-01,371.1
Ba.,1998-05-01,343.55
S INVOICE,1998-05-01,151.17000000000002
fut-Bryan,1998-05-01,137.55
TAX INVOICE,1998-05-01,75.08
INVOICE,1998-05-01,72.21000000000001
LS,1998-05-01,65.74
S TAX INVOICE,1998-05-01,38.89
Yoder Luc,1998-05-01,28.98
"Duran, Morgan and Loper TAX INVOICE",1998-05-01,12.96
TAX INVOICE A\,1998-05-01,3.0
INVOICE,1998-06-01,878.97
co TAX INVOICE,1998-06-01,85.5
COMMERCIAL INVOICE,1998-06-01,64.69
| LCO jj,1998-06-01,27.58
TAX INVOICE,1998-06-01,12.0
INVOICE # 7Y5Me4-801,1998-06-01,6.0
Invoice number INVO2779793,1998-06-01,5.0
Date: 20-Jun-1998,1998-06-01,3.0
co COMMERCIAL INVOICE,1998-06-01,3.0
COMMERCIAL INVOICE,1998-07-01,707.4000000000001
Huft-Bryan,1998-07-01,581.4
i,1998-07-01,259.14
=) UJ,1998-07-01,164.95999999999998
INVOICE,1998-07-01,145.63
Buyer :Katle Figueroa,1998-07-01,87.73
ss,1998-07-01,81.52
co TAX INVOICE,1998-07-01,6.0
INVOICE 1D 8049-861,1998-07-01,5.0
TAX INVOICE,1998-07-01,4.0
Buyer :Darrell Franco,1998-08-01,17620.08
tut Bryan,1998-08-01,1508.58
SB Invoice Date: 04-Aug-1998,1998-08-01,530.59
Huft-Bryan,1998-08-01,359.98
COMMERCIAL INVOICE,1998-08-01,187.04999999999998
"Parker, Phillips and Thomas",1998-08-01,139.04
Yoder Luc,1998-08-01,93.01
INVOICE,1998-08-01,81.33
Date: 31-Aug-1998,1998-08-01,72.18
TAX INVOICE ©,1998-08-01,69.51
co TAX INVOICE,1998-08-01,20.08
=) a,1998-08-01,5.0
COMMERCIAL INVOICE A\,1998-08-01,5.0
05200 Klein Wells,1998-08-01,3.99
"Rogers, Olson and Sanders",1998-08-01,3.0
COMMERCIAL INVOICE,1998-09-01,230.92
Sy Date: 28-Sep-1998,1998-09-01,192.2
TAX INVOICE,1998-09-01,177.61
INVOICE,1998-09-01,98.49
S TAX INVOICE,1998-09-01,64.54
| LCO jj,1998-09-01,37.44
Robinson-Carson 62 96 e,1998-09-01,33.900000000000006
S INVOICE,1998-09-01,2.2
Yoder Luc,1998-09-01,1.0
COMMERCIAL INVOICE,1998-10-01,1692.71
INVOICE,1998-10-01,797.11
A Date: 22-Oct-1998.,1998-10-01,692.89
TAX INVOICE,1998-10-01,203.47
COMMERCIAL INVOICE ©,1998-10-01,75.12
LS,1998-10-01,71.26
"Parker, Phillips and Thomas",1998-10-01,5.98
=) a,1998-10-01,5.0
INVOICE # 9Y5M6d-137,1998-10-01,4.0
Address:4894 Melanie Pass Apt. 742,1998-10-01,0.0
Ba.,1998-11-01,504.76
SL Date: 08-Nov-1998,1998-11-01,287.0
"Parker, Phillips and Thomas",1998-11-01,80.46000000000001
Buyer Hannah Soto,1998-11-01,28.11
INVOICE,1998-11-01,22.0
=) a,1998-11-01,6.0
TAX INVOICE,1998-11-01,5.0
COMMERCIAL INVOICE,1998-11-01,1.0
TAX INVOICE,1998-12-01,726.04
Huff-Bryan,1998-12-01,582.19
COMMERCIAL INVOICE,1998-12-01,500.36
"""am NO",1998-12-01,88.45
Buyer :Frances Harrison,1998-12-01,54.74
Invoice number INV94255888,1998-12-01,54.0
"Rogers, Olson and Sanders",1998-12-01,8.0
INVOICE,1998-12-01,7.0
——,1998-12-01,1.0
Address:4894 Melanie Pass Apt. 742,1998-12-01,0.0
TAX INVOICE ©,1998-12-01,0.0
TAX INVOICE,1999-01-01,2553.7400000000002
Ba.,1999-01-01,1516.9
COMMERCIAL INVOICE,1999-01-01,921.71
Su Date: 18-Jan-1999,1999-01-01,677.45
INVOICE,1999-01-01,405.46
ss,1999-01-01,332.3
INVOICE # INVI27-971574,1999-01-01,58.47
"Parker, Phillips and Thomas",1999-01-01,49.349999999999994
Date: 30-Jan-1999,1999-01-01,5.0
——,1999-01-01,5.0
Invoice number INVIO7-64/950,1999-01-01,4.32
Yoder Luc,1999-01-01,3.0
COMMERCIAL INVOICE ©,1999-01-01,2.0
"Rogers, Olson and Sanders",1999-01-01,1.0
INVOICE,1999-02-01,437.35
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1999-02-01,384.88
COMMERCIAL INVOICE,1999-02-01,174.12
S INVOICE,1999-02-01,71.39
co TAX INVOICE,1999-02-01,61.95
Buyer :Tyler Carey,1999-02-01,52.47
COMMERCIAL INVOICE A\,1999-02-01,5.0
Invoice number INV31212399,1999-02-01,4.05
INVOICE # 1Y5M9d-445,1999-02-01,4.0
INVOICE 10 eyaMed-909,1999-02-01,4.0
=) a,1999-02-01,2.0
S INVOICE,1999-03-01,7222.91
Robinson-Carson 62 96 e,1999-03-01,906.93
TAX INVOICE,1999-03-01,678.74
COMMERCIAL INVOICE,1999-03-01,516.61
SB invoice Date: 13-Mar-1999,1999-03-01,486.2
Huff-Bryan,1999-03-01,476.18
Date: 07-Mar-1999,1999-03-01,440.0
INVOICE,1999-03-01,93.03
=,1999-03-01,91.68
=) UJ,1999-03-01,59.7
"Parker, Phillips and Thomas",1999-03-01,26.66
INVOICE ©,1999-03-01,0.0
COMMERCIAL INVOICE,1999-04-01,473.6
BSS,1999-04-01,385.48
Invoice number INVB1070285,1999-04-01,320.8
TAX INVOICE,1999-04-01,247.76
INVOICE ©,1999-04-01,88.06
Bill to:Samantha Lam,1999-04-01,84.08
Buyer :Kimberly Reese,1999-04-01,75.38
S TAX INVOICE,1999-04-01,68.56
9833 Ashley Port Apt. 906,1999-04-01,67.71
co TAX INVOICE,1999-04-01,36.09
831 Teresa Neck,1999-04-01,6.63
COMMERCIAL INVOICE A\,1999-04-01,4.0
INVOICE,1999-04-01,3.0
=) a,1999-04-01,2.0
COMMERCIAL INVOICE ©,1999-04-01,0.0
COMMERCIAL INVOICE,1999-05-01,1762.2
INVOICE,1999-05-01,1220.69
Robinson-Carson 62 96 e,1999-05-01,740.8399999999999
Date: 09-May-1999,1999-05-01,268.44
Huff-Bryan,1999-05-01,187.68
TAX INVOICE,1999-05-01,122.64
"Duran, Morgan and Loper TAX INVOICE",1999-05-01,97.14
INVOICE 1D 7YeMea-762,1999-05-01,89.03
| LCO jj,1999-05-01,59.11
"Parker, Phillips and Thomas",1999-05-01,42.61
INVOICE 10 2605-059,1999-05-01,41.01
S COMMERCIAL INVOICE,1999-05-01,39.95
9578 Sullivan Way Apt. 557,1999-05-01,38.2
Address:4894 Melanie Pass Apt. 742,1999-05-01,9.93
co TAX INVOICE,1999-05-01,3.0
"Rogers, Olson and Sanders",1999-05-01,2.0
TAX INVOICE A\,1999-05-01,1.0
Ba.,1999-06-01,709.12
Wy Date: 16-Jun-1999,1999-06-01,624.69
COMMERCIAL INVOICE,1999-06-01,320.04
ZEON,1999-06-01,103.8
Yoder Luc,1999-06-01,84.57
TAX INVOICE,1999-06-01,13.0
Robinson-Carson 62 96 e,1999-06-01,8.63
INVOICE,1999-06-01,5.0
Invoice Date: 01-Jun-1999,1999-06-01,4.0
Invoice number 8747-004,1999-06-01,4.0
"Rogers, Olson and Sanders",1999-06-01,3.0
INVOICE 1D INVis3-82/483,1999-06-01,2.31
COMMERCIAL INVOICE,1999-07-01,1258.9299999999998
TAX INVOICE,1999-07-01,661.67
| LCO jj,1999-07-01,97.67
INVOICE,1999-07-01,86.52
S INVOICE,1999-07-01,72.64
S TAX INVOICE,1999-07-01,72.35
BSS,1999-07-01,10.44
COMMERCIAL INVOICE A\,1999-07-01,5.0
TAX INVOICE INVOICE # 8Y8M5d-490,1999-07-01,5.0
Jensen Group. INVOICE,1999-07-01,3.0
co TAX INVOICE,1999-07-01,3.0
White and Sons LAN,1999-08-01,663.72
Ba.,1999-08-01,387.72
INVOICE,1999-08-01,385.56
Bill to:Sarah Wilson,1999-08-01,94.63
| LCO jj,1999-08-01,65.0
BSS,1999-08-01,38.34
INVOICE A\,1999-08-01,13.75
COMMERCIAL INVOICE,1999-08-01,10.85
S COMMERCIAL INVOICE,1999-08-01,6.44
TAX INVOICE INVOICE ID 6Y7M7d-288,1999-08-01,6.0
TAX INVOICE,1999-09-01,1134.79
COMMERCIAL INVOICE,1999-09-01,784.58
=) UJ,1999-09-01,380.13
"Parker, Phillips and Thomas",1999-09-01,154.66
S COMMERCIAL INVOICE,1999-09-01,98.91
INVOICE,1999-09-01,86.53
ZEON,1999-09-01,59.82
Buyer :Joe! Jones,1999-09-01,58.06
Yoder Luc,1999-09-01,43.01
"""am NO",1999-09-01,9.56
ss,1999-09-01,3.0
"Rogers, Olson and Sanders",1999-09-01,2.0
Huff-Bryan,1999-10-01,971.87
COMMERCIAL INVOICE,1999-10-01,539.93
fut-Bryan,1999-10-01,397.49
INVOICE,1999-10-01,294.16
=,1999-10-01,118.4
6100 Scott Street Suite 169,1999-10-01,90.74
TAX INVOICE,1999-10-01,84.82
"Parker, Phillips and Thomas",1999-10-01,75.68
TAX INVOICE A\,1999-10-01,5.0
INVOICE 1D INVI71-12/960,1999-10-01,4.0
"Rogers, Olson and Sanders",1999-10-01,3.0
COMMERCIAL INVOICE ©,1999-10-01,0.0
Huff-Bryan,1999-11-01,563.11
INVOICE,1999-11-01,128.14
Bill to:Jesus Watts,1999-11-01,77.48
Bill to:Michael Conley,1999-11-01,68.37
"""am NO",1999-11-01,36.67
co COMMERCIAL INVOICE,1999-11-01,35.2
TAX INVOICE,1999-11-01,19.130000000000003
"Rogers, Olson and Sanders",1999-11-01,6.0
COMMERCIAL INVOICE,1999-11-01,5.0
Invoice number 2890-220,1999-11-01,4.0
Invoice number INVI97-48/977,1999-11-01,2.0
ss,1999-11-01,2.0
INVOICE # INVIS9-951624,1999-11-01,1.93
Address:4894 Melanie Pass Apt. 742,1999-11-01,0.0
COMMERCIAL INVOICE ©,1999-11-01,0.0
TAX INVOICE,1999-12-01,1372.28
Huff-Bryan,1999-12-01,594.69
=,1999-12-01,366.36
Huft-Bryan,1999-12-01,252.14
Bill to:James Wade,1999-12-01,74.85
"Parker, Phillips and Thomas",1999-12-01,70.99
COMMERCIAL INVOICE,1999-12-01,70.68
INVOICE ©,1999-12-01,46.6
8784 Alexander Tunnel Apt. 762,1999-12-01,42.08
ss,1999-12-01,35.95
"""am NO",1999-12-01,13.9
INVOICE,1999-12-01,8.0
Date: 17-Dec-1999,1999-12-01,6.0
Invoice number 999-429,1999-12-01,2.67
Invoice Date: 30-Dec-1999,1999-12-01,2.0
yy Date: 08-Jan-2000,2000-01-01,569.45
TAX INVOICE,2000-01-01,556.21
COMMERCIAL INVOICE,2000-01-01,526.89
COMMERCIAL INVOICE ©,2000-01-01,113.66
Jensen Group. INVOICE,2000-01-01,57.96
Buyer :Stephanie Sanders,2000-01-01,30.76
co COMMERCIAL INVOICE,2000-01-01,28.5
Yoder Luc,2000-01-01,18.56
799 Chelsea Corner Apt. 411,2000-01-01,17.6
—,2000-01-01,4.0
INVOICE,2000-01-01,3.0
TAX INVOICE ©,2000-01-01,0.0
Robinson-Carson 62 96 e,2000-02-01,989.1700000000001
INVOICE,2000-02-01,773.2
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2000-02-01,538.55
"Rogers, Olson and Sanders",2000-02-01,444.2
COMMERCIAL INVOICE INVOICE ID INV96101885,2000-02-01,279.59
Sy Date: 28-Feb-2000,2000-02-01,198.1
COMMERCIAL INVOICE,2000-02-01,189.76
"Parker, Phillips and Thomas",2000-02-01,95.19999999999999
Address:4894 Melanie Pass Apt. 742,2000-02-01,50.08
"Duran, Morgan and Loper INVOICE",2000-02-01,30.25
—,2000-02-01,6.0
BSS,2000-02-01,5.03
TAX INVOICE,2000-02-01,5.0
Invoice Date: 11-Feb-2000,2000-02-01,4.0
——,2000-02-01,2.0
COMMERCIAL INVOICE,2000-03-01,916.1999999999999
S COMMERCIAL INVOICE,2000-03-01,61.42
| LCO jj,2000-03-01,40.62
INVOICE,2000-03-01,36.42
Buyer :Seth Wiggins,2000-03-01,32.57
TAX INVOICE,2000-03-01,20.81
as,2000-03-01,5.0
TAX INVOICE ©,2000-03-01,0.0
TAX INVOICE,2000-04-01,825.25
tut Bryan,2000-04-01,775.22
Invoice Date: 06-Apr-2000,2000-04-01,550.86
S TAX INVOICE,2000-04-01,67.12
Huft-Bryan,2000-04-01,63.08
S COMMERCIAL INVOICE,2000-04-01,35.22
COMMERCIAL INVOICE,2000-04-01,26.41
INVOICE,2000-04-01,22.28
=) a,2000-04-01,7.0
——,2000-04-01,6.0
Date: 21-Apr-2000,2000-04-01,1.0
Invoice Date: 29-May-2000,2000-05-01,1087.37
COMMERCIAL INVOICE,2000-05-01,504.46999999999997
ss,2000-05-01,303.2
=) UJ,2000-05-01,98.93
TAX INVOICE,2000-05-01,98.55
Jensen Group. INVOICE,2000-05-01,96.73
"Parker, Phillips and Thomas",2000-05-01,93.37
COMMERCIAL INVOICE A\,2000-05-01,76.36
Yoder Luc,2000-05-01,70.14
Ser Rivera Phe sue 678,2000-05-01,40.1
y| LCO |,2000-05-01,22.17
INVOICE A\,2000-05-01,14.6
—,2000-05-01,6.0
INVOICE,2000-05-01,4.0
INVOICE # 4vaM20-619,2000-05-01,4.0
Address:4894 Melanie Pass Apt. 742,2000-05-01,0.0
y| LCO |,2000-06-01,256008.0
Sy Date: 06-Jun-2000,2000-06-01,676.26
COMMERCIAL INVOICE,2000-06-01,58.97
TAX INVOICE,2000-06-01,4.0
INVOICE 10 ovaMee-o41,2000-06-01,2.0
INVOICE A\,2000-06-01,1.0
COMMERCIAL INVOICE,2000-07-01,1001.02
INVOICE,2000-07-01,362.58000000000004
TAX INVOICE,2000-07-01,183.09
"""am NO",2000-07-01,72.8
Robinson-Carson 62 96 e,2000-07-01,28.21
i| LCO |,2000-07-01,13.83
Invoice Date: 04-Jul-2000,2000-07-01,6.0
ss,2000-07-01,1.0
"Parker, Phillips and Thomas",2000-08-01,99.05
INVOICE,2000-08-01,89.36999999999999
Yoder Luc,2000-08-01,62.63
co COMMERCIAL INVOICE,2000-08-01,26.89
INVOICE # INVI06- 081653,2000-08-01,13.49
Invoice Date: 18-Aug-2000,2000-08-01,5.0
TAX INVOICE,2000-08-01,5.0
Date: 04-Aug-2000,2000-08-01,3.0
COMMERCIAL INVOICE,2000-08-01,2.0
INVOICE # INV/16-68/945,2000-08-01,2.0
COMMERCIAL INVOICE,2000-09-01,503.05
INVOICE,2000-09-01,452.42999999999995
A Invoice Date: 23-Sep-2000,2000-09-01,324.6
TAX INVOICE,2000-09-01,304.81
"Duran, Morgan and Loper TAX INVOICE",2000-09-01,243.79
COMMERCIAL INV,2000-09-01,157.68
Huff-Bryan,2000-09-01,155.92
"Parker, Phillips and Thomas",2000-09-01,98.6
Buyer :Kelly Matthews,2000-09-01,75.28
"""am NO",2000-09-01,74.61
Yoder LLC,2000-09-01,52.78
2903 Karen Walk Suite 806,2000-09-01,36.14
S COMMERCIAL INVOICE,2000-09-01,25.91
co TAX INVOICE,2000-09-01,22.8
Invoice number INvi28-17/262,2000-09-01,12.07
=) a,2000-09-01,5.0
COMMERCIAL INVOICE A\,2000-09-01,4.0
INVOICE # sYoMaa-644,2000-09-01,1.0
COMMERCIAL INVOICE,2000-10-01,824.58
Huft-Bryan,2000-10-01,664.76
Invoice number 6101-552,2000-10-01,91.98
INVOICE ©,2000-10-01,31.56
TAX INVOICE,2000-10-01,19.0
INVOICE,2000-10-01,9.0
COMMERCIAL INVOICE A\,2000-10-01,6.0
TAX INVOICE Invoice number 0260-146,2000-10-01,6.0
INVOICE # INVe2723049,2000-10-01,4.0
"Rogers, Olson and Sanders",2000-10-01,4.0
INVOICE 1D 0664-307,2000-10-01,3.0
Address:4894 Melanie Pass Apt. 742,2000-10-01,0.0
tut Bryan,2000-11-01,967.55
COMMERCIAL INV,2000-11-01,922.93
TAX INVOICE,2000-11-01,788.72
Buyer :Brenda Rodriguez,2000-11-01,738.35
SB Invoice Date: 20-Nov-2000,2000-11-01,702.7
| LCO jj,2000-11-01,133.58
"Duran, Morgan and Loper INVOICE",2000-11-01,124.45
S COMMERCIAL INVOICE,2000-11-01,88.68
Yoder Luc,2000-11-01,73.05
"Parker, Phillips and Thomas",2000-11-01,56.04
COMMERCIAL INVOICE,2000-11-01,46.96
=) a,2000-11-01,4.0
"Rogers, Olson and Sanders",2000-11-01,3.0
——,2000-11-01,3.0
INVOICE 1D 3792-544,2000-11-01,1.0
INVOICE,2000-12-01,499.96999999999997
TAX INVOICE,2000-12-01,387.05
Robinson-Carson 62 96 e,2000-12-01,27.92
"Parker, Phillips and Thomas",2000-12-01,9.12
COMMERCIAL INVOICE,2000-12-01,5.0
"Rogers, Olson and Sanders",2000-12-01,5.0
"{ Hy, y INVOICE",2000-12-01,4.94
COMMERCIAL INVOICE,2001-01-01,1001.61
Huft-Bryan,2001-01-01,678.04
Yoder Luc,2001-01-01,64.29
Invoice number INVI24-47/811,2001-01-01,6.0
"Rogers, Olson and Sanders",2001-01-01,6.0
ss,2001-01-01,5.0
INVOICE,2001-01-01,4.0
TAX INVOICE,2001-01-01,4.0
INVOICE INVOICE # 7582-825,2001-01-01,3.0
Date: 08-Jan-2001,2001-01-01,1.0
INVOICE ©,2001-01-01,0.0
COMMERCIAL INVOICE,2001-02-01,862.37
TAX INVOICE,2001-02-01,793.35
Invoice Date: 17-Feb-2001,2001-02-01,565.14
Huft-Bryan,2001-02-01,329.0
INVOICE,2001-02-01,224.94
"Parker, Phillips and Thomas",2001-02-01,117.88
=) a,2001-02-01,2.0
TAX INVOICE Invoice number INV65259712,2001-02-01,1.0
INVOICE,2001-03-01,1632.87
Huff-Bryan,2001-03-01,812.7
TAX INVOICE,2001-03-01,227.73
COMMERCIAL INVOICE,2001-03-01,200.44
"Parker, Phillips and Thomas",2001-03-01,89.03
Buyer :Tracy Hansen,2001-03-01,77.16
8640 Smith Square Apt. 450,2001-03-01,74.32
Bill to:Andrew Murphy,2001-03-01,56.27
INVOICE ID INve3316203,2001-03-01,45.19
Yoder Luc,2001-03-01,29.64
=) UJ,2001-03-01,25.38
Buyer :Jason Salazar,2001-03-01,8.07
TAX INVOICE A\,2001-03-01,6.0
ss,2001-03-01,5.0
Invoice Date: 24-Mar-2001,2001-03-01,4.0
Invoice number 9591-286,2001-03-01,3.0
INVOICE # 1195-993,2001-03-01,1.98
COMMERCIAL INVOICE ©,2001-03-01,0.0
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2001-04-01,987.18
INVOICE,2001-04-01,680.5699999999999
"Duran, Morgan and Loper TAX INVOICE",2001-04-01,98.59
=) UJ,2001-04-01,83.47999999999999
COMMERCIAL INVOICE A\,2001-04-01,81.24
INVOICE A\,2001-04-01,79.58
Yoder LLC,2001-04-01,62.62
co TAX INVOICE,2001-04-01,35.89
TAX INVOICE,2001-04-01,35.0
COMMERCIAL INVOICE,2001-04-01,12.0
"Parker, Phillips and Thomas",2001-04-01,7.22
ss,2001-04-01,1.0
INVOICE ©,2001-04-01,0.0
BSS,2001-05-01,668.37
TAX INVOICE,2001-05-01,173.33
INVOICE,2001-05-01,132.78
Bill to:Suzanne Hart,2001-05-01,74.19
Yoder LLC,2001-05-01,57.61
COMMERCIAL INVOICE,2001-05-01,19.08
co COMMERCIAL INVOICE,2001-05-01,3.0
=) a,2001-05-01,1.0
INVOICE A\,2001-05-01,1.0
Address:4894 Melanie Pass Apt. 742,2001-06-01,7720.0
TAX INVOICE,2001-06-01,1158.7
COMMERCIAL INVOICE,2001-06-01,296.51
=,2001-06-01,201.12
=) UJ,2001-06-01,99.49
co COMMERCIAL INVOICE,2001-06-01,58.0
S INVOICE,2001-06-01,43.730000000000004
INVOICE # 2536-148,2001-06-01,6.0
"Rogers, Olson and Sanders",2001-06-01,6.0
INVOICE,2001-06-01,5.0
Date: 25-Jun-2001,2001-06-01,1.0
ss,2001-06-01,1.0
INVOICE,2001-07-01,645.15
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2001-07-01,536.1
Huft-Bryan,2001-07-01,438.47
=) UJ,2001-07-01,45.4
TAX INVOICE,2001-07-01,20.05
COMMERCIAL INVOICE,2001-07-01,4.0
LS,2001-07-01,3.91
=) a,2001-07-01,3.0
"Rogers, Olson and Sanders",2001-07-01,3.0
S COMMERCIAL INVOICE,2001-07-01,2.98
Huff-Bryan,2001-08-01,1115.59
INVOICE,2001-08-01,1004.99
COMMERCIAL INVOICE,2001-08-01,902.69
"Graham, Carrio and Stark",2001-08-01,900.5
TAX INVOICE,2001-08-01,580.0699999999999
Robinson-Carson 62 96 e,2001-08-01,489.26
